ORN,Exp_ID,Odor,Concentration,DF/F
Or85c,20180522_401_R,2-heptanone,1.00E-09,1.548755994
Or85c,20180522_401_R,2-heptanone,1.00E-08,2.715237226
Or85c,20180522_401_R,2-heptanone,1.00E-07,3.044991171
Or85c,20180522_601_L,2-heptanone,1.00E-11,0
Or85c,20180522_601_L,2-heptanone,1.00E-10,0.38844729
Or85c,20180522_601_L,2-heptanone,1.00E-09,1.663005616
Or85c,20180522_601_L,2-heptanone,1.00E-08,2.619425183
Or85c,20180522_601_L,2-heptanone,1.00E-07,3.532097284
Or85c,20180522_601_R,2-heptanone,1.00E-11,0.181806482
Or85c,20180522_601_R,2-heptanone,1.00E-10,0.288894839
Or85c,20180522_601_R,2-heptanone,1.00E-09,1.962339765
Or85c,20180522_601_R,2-heptanone,1.00E-08,3.11330018
Or85c,20180522_601_R,2-heptanone,1.00E-07,3.67956765
