ORN,Exp_ID,Odor,Concentration,DF/F
Or13a,1_L,6-methyl-5-hepten-2-ol,3.16E-08,0.206061803
Or13a,1_L,6-methyl-5-hepten-2-ol,1.00E-07,0.215028991
Or13a,1_L,6-methyl-5-hepten-2-ol,3.16E-07,0.19589025
Or13a,1_L,6-methyl-5-hepten-2-ol,1.00E-06,0.842867337
Or13a,1_L,6-methyl-5-hepten-2-ol,3.16E-06,2.87657315
Or13a,1_L,6-methyl-5-hepten-2-ol,1.00E-05,2.549102421
Or13a,1_L,6-methyl-5-hepten-2-ol,3.16E-05,2.493829477
Or13a,1_L,6-methyl-5-hepten-2-ol,1.00E-04,2.327115154
Or13a,1_L,3-octanol,1.00E-08,0.328630851
Or13a,1_L,3-octanol,3.16E-08,0.043036768
Or13a,1_L,3-octanol,1.00E-07,0.775564679
Or13a,1_L,3-octanol,3.16E-07,2.059888854
Or13a,1_L,3-octanol,1.00E-06,2.84952657
Or13a,1_L,3-octanol,3.16E-06,2.55291706
Or13a,1_L,3-octanol,1.00E-05,2.478227635
Or13a,1_L,3-octanol,3.16E-05,2.162792355
Or13a,1_R,6-methyl-5-hepten-2-ol,3.16E-08,0.030861781
Or13a,1_R,6-methyl-5-hepten-2-ol,1.00E-07,0.049189176
Or13a,1_R,6-methyl-5-hepten-2-ol,3.16E-07,0.059795985
Or13a,1_R,6-methyl-5-hepten-2-ol,1.00E-06,0.587976722
Or13a,1_R,6-methyl-5-hepten-2-ol,3.16E-06,2.315181848
Or13a,1_R,6-methyl-5-hepten-2-ol,1.00E-05,2.483542354
Or13a,1_R,6-methyl-5-hepten-2-ol,3.16E-05,2.606613386
Or13a,1_R,6-methyl-5-hepten-2-ol,1.00E-04,2.399882118
Or13a,1_R,3-octanol,1.00E-08,0.085502999
Or13a,1_R,3-octanol,3.16E-08,0.092303488
Or13a,1_R,3-octanol,1.00E-07,0.577369055
Or13a,1_R,3-octanol,3.16E-07,1.940900512
Or13a,1_R,3-octanol,1.00E-06,2.77003844
Or13a,1_R,3-octanol,3.16E-06,2.678588226
Or13a,1_R,3-octanol,1.00E-05,2.409597959
Or13a,1_R,3-octanol,3.16E-05,2.145355526
Or13a,2_L,6-methyl-5-hepten-2-ol,3.16E-08,0.031262632
Or13a,2_L,6-methyl-5-hepten-2-ol,1.00E-07,0.009518251
Or13a,2_L,6-methyl-5-hepten-2-ol,3.16E-07,0.191017455
Or13a,2_L,6-methyl-5-hepten-2-ol,1.00E-06,1.271717965
Or13a,2_L,6-methyl-5-hepten-2-ol,3.16E-06,3.068753637
Or13a,2_L,6-methyl-5-hepten-2-ol,1.00E-05,4.169735149
Or13a,2_L,6-methyl-5-hepten-2-ol,3.16E-05,4.504764157
Or13a,2_L,6-methyl-5-hepten-2-ol,1.00E-04,4.572602868
Or13a,2_L,3-octanol,1.00E-08,0.011570335
Or13a,2_L,3-octanol,3.16E-08,0.130287661
Or13a,2_L,3-octanol,1.00E-07,0.882480213
Or13a,2_L,3-octanol,3.16E-07,2.669581683
Or13a,2_L,3-octanol,1.00E-06,3.791837953
Or13a,2_L,3-octanol,3.16E-06,4.349594028
Or13a,2_L,3-octanol,1.00E-05,4.368929075
Or13a,2_L,3-octanol,3.16E-05,4.146704337
Or13a,2_R,6-methyl-5-hepten-2-ol,3.16E-08,0.167836803
Or13a,2_R,6-methyl-5-hepten-2-ol,1.00E-07,0.190892259
